Code,TeamName,Conference,Division,Member1,Member2,Location
A1,Detroit 76ers,Western,G.O.O.D.,Trell,Chef Hardy,"Detroit, MI"
A2,Tag Em & Bag Em,Western,G.O.O.D.,Hard Boiled,newhousebailey,"Springfield, IL"
A3,Miller Time,Western,G.O.O.D.,Marcellus C. Miller,RISPEKMIGAME,"Flint, MI"
A4,Toshiba Auggie,Western,G.O.O.D.,Tasha,ALeona,"Lumberton, NC"
A5,The Big Fellas,Western,G.O.O.D.,Flewellen,Hen727,"St. Petersburg, FL"
B1,Chaos,Western,Cash Money,Gee Scott,Balieybaiiii,"Monroe, LA"
B2,Book Masters,Western,Cash Money,Brittani,Herbert Smith II,"Dallas, TX"
B3,That Couple,Western,Cash Money,That Chick,That Dude,"St. Louis, MO"
B4,Star Studded,Western,Cash Money,Reece,Dee,"Dallas, TX"
B5,Hands On Deck,Western,Cash Money,Marvin,MzThickness82,"St. Louis, MO"
C1,JQ Suited,Western,Death Row,Jan,Quin,"Durham, NC"
C2,Kimasha,Western,Death Row,Dkelham,AkDj,"Anchorage, AK"
C3,Kingdom Minded,Western,Death Row,Unique Moves,Jamal,"Tuscon, AZ"
C4,Set,Western,Death Row,j.scott,Andrew,"Los Angeles, CA"
C5,Run The Board,Western,Death Row,Cubano_romano,hip hip,"Los Angeles, CA"
D1,Shaolin Stars,Eastern,Bad Boy,DijaMo,MinaMo,"New York, NY"
D2,N.M.O.E.,Eastern,Bad Boy,Percy Lee,KB,"Philadelphia, PA"
D3,Knuck If You Stuck,Eastern,Bad Boy,Borah,Aceito420,"Newark, NJ"
D4,Gerow Animals,Eastern,Bad Boy,Chad Upson,Junslugger,"New York, NY"
D5,Double D's,Eastern,Bad Boy,Devon,Dazzlingdg1,"New York, NY"
E1,PG's Finest,Eastern,State Property,Furmane,Charles Williams,DMV
E2,Team Bui,Eastern,State Property,Daniel Bui,Tiffany,DMV
E3,Hustle,Eastern,State Property,Stretch85,Jay,"Washington, DC"
E4,Spin Em,Eastern,State Property,C Scott,Takeheed,"Philadelphia, PA"
E5,Harry Potheads,Eastern,State Property,Eric Preston,BodiesByYah,"Philadelphia, PA"
F1,Florida Oranges,Eastern,So So Def,Nikki Gaines,Ronae,"Fort Lauderdale, FL"
F2,Twin N Em,Eastern,So So Def,Mani,Nae,"Charlotte, NC"
F3,TNT,Eastern,So So Def,Shake,Tazia,"Atlanta, GA"
F4,Team Robinson,Eastern,So So Def,Michael Robinson,LaRissa Robinson,"Atlanta, GA"
F5,A Team,Eastern,So So Def,AJ2Letters,Rose,"Charlotte, NC"