ID,Date,Home,Away,Home,Away
1,2022-10-24,D2,D1,435,508
2,2022-10-24,D4,E1,545,164
3,2022-10-24,F5,F2,308,535
4,2022-10-24,A5,A4,-38,598
5,2022-10-24,B3,B5,278,529
6,2022-10-24,C2,C5,507,407
7,2022-10-24,C3,C4,0,1
8,2022-10-25,F3,F4,508,115
9,2022-10-25,F2,D4,0,1
10,2022-10-25,E4,E5,255,531
11,2022-10-25,C4,B5,86,505
12,2022-10-25,C5,B2,536,427
13,2022-10-25,C1,A2,549,347
14,2022-10-26,D1,F1,529,-299
15,2022-10-26,D5,D2,286,546
16,2022-10-26,E1,D3,534,423
17,2022-10-26,F3,E5,504,167
18,2022-10-26,A1,A3,436,553
19,2022-10-26,B4,B1,1,0
20,2022-10-26,C3,C2,0,1
21,2022-10-26,E3,E2,-151,508
22,2022-10-27,E2,E4,520,304
23,2022-10-27,F3,F5,547,298
24,2022-10-27,A2,A1,535,82
25,2022-10-27,B1,A5,1,0
26,2022-10-27,B4,B2,502,399
27,2022-10-27,B3,A3,522,479
28,2022-10-27,C3,C1,202,519
29,2022-10-31,F1,F4,557,304
30,2022-10-31,E4,F2,506,179
31,2022-10-31,A4,C5,339,528
32,2022-10-31,D3,D5,1,0
33,2022-10-31,B2,A1,504,361
34,2022-10-31,B1,C4,0,1
35,2022-10-31,E3,F1,519,301
36,2022-10-31,C1,C5,545,361
37,2022-11-01,F4,F5,-167,547
38,2022-11-01,E1,D2,0,1
39,2022-11-01,D3,D4,286,533
40,2022-11-01,D1,E2,256,539
41,2022-11-01,B5,A2,369,509
42,2022-11-01,B4,B3,504,477
43,2022-11-01,C2,A3,444,537
44,2022-11-02,F2,F3,109,566
45,2022-11-02,E5,E2,503,568
46,2022-11-02,E1,E3,0,1
47,2022-11-02,A5,A1,1,0
48,2022-11-02,B2,A4,227,519
49,2022-11-02,B5,F5,354,525
50,2022-11-02,C4,B3,370,524
51,2022-11-02,C5,B1,1,0
52,2022-11-02,E4,D5,539,536
53,2022-11-03,F3,F1,504,-237
54,2022-11-03,F4,D3,380,543
55,2022-11-03,D5,D1,120,519
56,2022-11-03,D2,E3,345,633
57,2022-11-03,A1,C3,1,0
58,2022-11-03,A2,A4,618,532
59,2022-11-03,C5,B3,502,33
60,2022-11-03,C4,A5,533,234
61,2022-11-03,C1,B4,509,179
62,2022-11-06,A3,E5,556,30
63,2022-11-07,F3,E2,71,515
64,2022-11-07,D2,F4,144,514
65,2022-11-07,E5,F2,405,503
66,2022-11-07,D1,C1,520,524
67,2022-11-07,A4,C2,544,393
68,2022-11-07,A2,C3,1,0
69,2022-11-07,B1,B2,0,1
70,2022-11-07,C4,C5,228,524
71,2022-11-07,D4,F4,510,324
72,2022-11-08,F1,B1,506,365
73,2022-11-08,F4,E4,515,-77
74,2022-11-08,D3,F5,527,353
75,2022-11-08,D5,E1,537,535
76,2022-11-08,A3,A5,285,584
77,2022-11-08,B5,B4,527,207
78,2022-11-08,C4,C2,539,192
79,2022-11-08,C5,D4,507,386
80,2022-11-09,F2,F4,0,1
81,2022-11-09,D4,D5,537,402
82,2022-11-09,D2,D3,382,546
83,2022-11-09,E3,D1,85,513
84,2022-11-09,A5,A2,318,512
85,2022-11-09,B5,A4,547,199
86,2022-11-09,B3,B2,1,0
87,2022-11-09,C3,C1,0,1
88,2022-11-10,F1,F3,203,504
89,2022-11-10,F5,E5,525,535
90,2022-11-10,A4,A3,516,318
91,2022-11-10,B1,B5,0,1
92,2022-11-10,C5,A1,327,502
93,2022-11-10,C2,B4,166,519
94,2022-11-14,E1,E4,78,519
95,2022-11-14,D4,E5,521,268
96,2022-11-14,A1,A2,478,505
97,2022-11-14,A5,C3,1,0
98,2022-11-14,A3,B2,558,118
99,2022-11-14,B3,F2,397,505
100,2022-11-14,B5,F3,545,492
101,2022-11-14,C2,B1,519,321
102,2022-11-14,E2,E1,1,0
103,2022-11-15,E3,D5,688,864
104,2022-11-15,E1,A4,0,1
105,2022-11-15,E2,D4,137,526
106,2022-11-15,F3,F5,292,608
107,2022-11-15,A3,C1,179,528
108,2022-11-15,B4,C4,505,446
109,2022-11-16,E4,E3,276,538
110,2022-11-16,F4,E2,95,517
111,2022-11-16,F2,F1,271,514
112,2022-11-16,A2,C5,579,399
113,2022-11-16,A1,B3,309,503
114,2022-11-16,D1,D3,539,289
115,2022-11-16,B1,B4,0,1
116,2022-11-17,E5,D3,456,568
117,2022-11-17,D5,D1,422,545
118,2022-11-17,D2,F2,485,527
119,2022-11-17,A3,A2,503,-190
120,2022-11-17,B5,A5,528,493
121,2022-11-17,B4,C5,502,451
122,2022-11-17,C1,C2,1,0
123,2022-11-17,E4,D2,526,-16
124,2022-11-17,E3,F4,0,1
125,2022-11-18,B2,F1,457,539